"","CITY","COUNTY","DAY","DAY_WEEK","FATALS","HOUR","LATITUDE","LONGITUDE","MINUTE","MONTH","STATE","ST_CASE","YEAR"
"27890",2190,141,1,2,1,3,31.92880833,-106.4167778,9,1,48,480008,2018
"27891",0,141,1,2,1,9,31.96419444,-106.5826056,30,1,48,480009,2018
"27900",2190,141,3,4,1,6,31.90515833,-106.5494167,1,1,48,480018,2018
"27938",2190,141,7,1,2,12,31.788725,-106.441075,9,1,48,480057,2018
"27960",2190,141,9,3,1,18,31.81689167,-106.5352778,17,1,48,480079,2018
"28099",2190,141,26,6,1,2,31.89270556,-106.5976611,46,1,48,480225,2018
"28100",2190,141,26,6,1,18,31.80781667,-106.4441861,20,1,48,480226,2018
"28101",2190,141,26,6,1,23,31.73488333,-106.3195694,55,1,48,480227,2018
"28239",0,141,18,1,1,6,31.52952778,-106.1830639,45,2,48,480370,2018
"28261",2190,141,5,2,1,1,31.82924167,-106.4451111,31,2,48,480392,2018
"28435",2190,141,13,3,1,21,31.77264722,-106.3800694,51,3,48,480571,2018
"28522",2190,141,16,6,2,21,31.75129722,-106.2792194,27,3,48,480660,2018
"28562",0,141,2,6,1,22,31.57194444,-106.1719083,25,3,48,480702,2018
"28577",2190,141,13,3,1,3,31.72298056,-106.3520417,12,3,48,480717,2018
"28736",0,141,15,1,1,0,31.56204167,-106.2382611,20,4,48,480881,2018
"28748",2190,141,20,6,1,10,31.89923611,-106.3967417,27,4,48,480893,2018
"28753",6135,141,21,7,1,17,31.56624444,-106.2451194,15,4,48,480898,2018
"28794",2190,141,22,1,1,2,31.77879444,-106.3929583,19,4,48,480940,2018
"28807",2190,141,24,3,1,14,31.78285556,-106.338175,45,4,48,480953,2018
"29012",2190,141,13,1,1,2,31.81930556,-106.2720889,19,5,48,481164,2018
"29062",0,141,17,5,1,16,31.66261111,-106.2319917,14,5,48,481214,2018
"29124",2190,141,21,2,1,21,31.85503333,-106.4378083,6,5,48,481278,2018
"29170",0,141,30,4,1,18,31.58996667,-106.2263972,26,5,48,481326,2018
"29183",2190,141,12,7,1,9,31.761825,-106.5072889,30,5,48,481339,2018
"29191",2190,141,20,1,1,10,31.7639,-106.4916111,18,5,48,481347,2018
"29210",3276,141,30,4,1,20,31.666975,-106.229925,30,5,48,481366,2018
"29227",2190,141,2,7,1,3,31.7784,-106.3922861,31,6,48,481383,2018
"29258",2190,141,6,4,1,0,31.86736667,-106.4298444,43,6,48,481415,2018
"29300",2190,141,17,1,1,7,31.84581389,-106.4225194,27,6,48,481457,2018
"29338",0,141,17,1,1,4,31.85571389,-106.1850833,8,6,48,481495,2018
"29415",2190,141,1,6,1,21,31.77075833,-106.4252722,50,6,48,481576,2018
"29429",2190,141,19,3,1,19,31.77979722,-106.3808583,50,6,48,481590,2018
"29521",2190,141,5,5,1,4,31.77805556,-106.4542944,42,7,48,481685,2018
"29523",2190,141,6,6,1,23,31.82206111,-106.4446944,35,7,48,481688,2018
"29605",2190,141,13,6,1,2,31.79846111,-106.3325639,6,7,48,481770,2018
"29640",0,141,4,4,1,11,31.90419444,-106.4542139,54,7,48,481805,2018
"29672",3276,141,21,7,1,17,31.68272222,-106.2004917,28,7,48,481839,2018
"29704",2190,141,15,1,1,17,31.76819167,-106.4327861,8,7,48,481872,2018
"29725",2190,141,27,6,1,18,31.88858889,-106.4156944,19,7,48,481893,2018
"29733",2190,141,28,7,1,9,31.772475,-106.3794139,29,7,48,481901,2018
"29741",0,141,29,1,1,21,31.64279722,-106.2267361,44,7,48,481909,2018
"29742",2190,141,29,1,1,21,31.64279722,-106.2267361,22,7,48,481910,2018
"29838",2190,141,17,6,1,9,31.81457222,-106.2683333,26,8,48,482010,2018
"29863",2190,141,16,5,1,12,31.67624167,-106.323375,44,8,48,482035,2018
"29880",2190,141,8,4,1,22,32.00063611,-106.4438,49,8,48,482053,2018
"29922",2190,141,5,1,1,19,31.67495556,-106.3277111,50,8,48,482096,2018
"29923",2190,141,5,1,1,21,31.75261111,-106.3774,9,8,48,482097,2018
"30069",2190,141,15,7,1,6,31.74276111,-106.3240972,42,9,48,482247,2018
"30078",0,141,9,1,1,20,31.90072222,-106.5992889,11,9,48,482257,2018
"30083",2190,141,3,2,1,0,31.92760556,-106.37195,1,9,48,482262,2018
"30096",2190,141,12,4,1,21,31.87025278,-106.4407028,9,9,48,482275,2018
"30104",2190,141,2,2,1,5,31.78977222,-106.395675,37,7,48,482283,2018
"30105",2190,141,2,5,1,19,31.70697778,-106.3608889,14,8,48,482284,2018
"30143",0,141,24,6,1,1,31.59383333,-106.2550278,20,8,48,482323,2018
"30162",2190,141,20,5,1,8,31.88375278,-106.4404194,47,9,48,482342,2018
"30163",2190,141,23,1,1,20,31.88071389,-106.40635,42,9,48,482343,2018
"30198",2190,141,12,4,1,1,31.79148611,-106.5035139,35,9,48,482378,2018
"30217",2190,141,1,2,1,5,31.73342222,-106.3807722,47,10,48,482399,2018
"30244",2190,141,7,6,1,16,31.85681667,-106.5984167,12,9,48,482427,2018
"30294",2190,141,9,3,1,20,31.92279167,-106.4221028,11,10,48,482481,2018
"30313",2190,141,11,3,1,21,31.83567778,-106.5508917,48,9,48,482501,2018
"30385",2190,141,18,5,1,20,31.71993333,-106.3245528,46,10,48,482576,2018
"30399",2190,141,21,1,1,1,31.81735556,-106.4446556,54,10,48,482590,2018
"30426",0,141,15,2,1,18,31.591825,-106.2733278,50,10,48,482618,2018
"30491",2190,141,24,4,1,19,31.87567778,-106.5796139,14,10,48,482684,2018
"30529",2190,141,4,1,1,20,31.76513611,-106.4735556,38,11,48,482726,2018
"30555",2190,141,3,7,1,21,31.78734444,-106.3708306,37,11,48,482752,2018
"30632",2190,141,10,7,1,1,31.77744722,-106.4245528,10,11,48,482831,2018
"30692",2190,141,22,5,1,1,31.77694722,-106.5032194,45,11,48,482891,2018
"30734",2190,141,5,2,1,20,31.68789167,-106.2693639,25,11,48,482933,2018
"30771",2190,141,23,6,1,2,31.70392222,-106.2876194,15,11,48,482971,2018
"30846",2190,141,28,4,1,19,31.75344722,-106.3920389,35,11,48,483047,2018
"30878",2190,141,10,2,1,22,31.72565833,-106.2754917,52,12,48,483080,2018
"30879",2190,141,1,7,1,2,31.83165,-106.4315778,39,12,48,483081,2018
"30901",9997,141,25,1,1,5,31.65983611,-106.2395972,32,11,48,483105,2018
"30903",2190,141,2,1,1,1,31.84568611,-106.5984806,52,9,48,483107,2018
"30908",2190,141,3,1,1,2,31.75169167,-106.3033028,19,6,48,483112,2018
"30937",2190,141,14,1,1,19,31.85497778,-106.4455583,8,10,48,483142,2018
"30962",2190,141,19,4,1,19,31.83763333,-106.439825,34,12,48,483167,2018
"30966",2190,141,18,3,1,19,31.81956111,-106.2728778,7,12,48,483171,2018
"30991",2190,141,21,6,1,9,31.81378889,-106.2129389,13,12,48,483196,2018
"31064",2190,141,23,1,1,7,31.79124722,-106.4659111,41,12,48,483270,2018
"31078",0,141,26,4,1,18,31.65759444,-106.2382139,40,12,48,483284,2018
"31125",2190,141,5,6,1,17,31.84125278,-106.5667972,59,10,48,483331,2018
"31153",2190,141,29,7,1,5,31.76420278,-106.2674528,43,12,48,483359,2018
